Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's Degree,Software Engineer,5.0,<=100K
28.0,Female,Master's Degree,Data Analyst,3.0,<=100K
45.0,Male,PhD,Senior Manager,15.0,>100K
36.0,Female,Bachelor's Degree,Sales Associate,7.0,<=100K
52.0,Male,Master's Degree,Director,20.0,>100K
29.0,Male,Bachelor's Degree,Marketing Analyst,2.0,<=100K
42.0,Female,Master's Degree,Product Manager,12.0,>100K
31.0,Male,Bachelor's Degree,Sales Manager,4.0,<=100K
26.0,Female,Bachelor's Degree,Marketing Coordinator,1.0,<=100K
38.0,Male,PhD,Senior Scientist,10.0,>100K
29.0,Male,Master's Degree,Software Developer,3.0,<=100K
48.0,Female,Bachelor's Degree,HR Manager,18.0,>100K
35.0,Male,Bachelor's Degree,Financial Analyst,6.0,<=100K
40.0,Female,Master's Degree,Project Manager,14.0,>100K
27.0,Male,Bachelor's Degree,Customer Service Rep,2.0,<=100K
44.0,Male,Bachelor's Degree,Operations Manager,16.0,>100K
33.0,Female,Master's Degree,Marketing Manager,7.0,<=100K
39.0,Male,PhD,Senior Engineer,12.0,>100K
25.0,Female,Bachelor's Degree,Data Entry Clerk,0.0,<=100K
51.0,Male,Bachelor's Degree,Sales Director,22.0,>100K
34.0,Female,Master's Degree,Business Analyst,5.0,<=100K
47.0,Male,Master's Degree,VP of Operations,19.0,>100K
30.0,Male,Bachelor's Degree,IT Support,2.0,<=100K
36.0,Female,Bachelor's Degree,Recruiter,9.0,<=100K
41.0,Male,Master's Degree,Financial Manager,13.0,>100K
28.0,Female,Bachelor's Degree,Social Media Specialist,3.0,<=100K
37.0,Female,Master's Degree,Software Manager,11.0,>100K
24.0,Male,Bachelor's Degree,Junior Developer,1.0,<=100K
43.0,Female,PhD,Senior Consultant,15.0,>100K
33.0,Male,Master's Degree,Product Designer,6.0,<=100K
50.0,Male,Bachelor's Degree,CEO,25.0,>100K
31.0,Female,Bachelor's Degree,Accountant,4.0,<=100K
29.0,Male,Master's Degree,Data Scientist,3.0,<=100K
39.0,Female,Bachelor's Degree,Marketing Specialist,10.0,<=100K
46.0,Male,PhD,Senior Manager,20.0,>100K
27.0,Male,Bachelor's Degree,Technical Writer,2.0,<=100K
35.0,Female,Bachelor's Degree,HR Generalist,7.0,<=100K
42.0,Male,Master's Degree,Project Engineer,14.0,>100K
26.0,Female,Bachelor's Degree,Customer Success Rep,1.0,<=100K
49.0,Male,Bachelor's Degree,Sales Executive,21.0,>100K
34.0,Female,Master's Degree,UX Designer,5.0,<=100K
48.0,Male,Master's Degree,Operations Director,18.0,>100K
30.0,Male,Bachelor's Degree,Network Engineer,3.0,<=100K
36.0,Female,Bachelor's Degree,Administrative Assistant,8.0,<=100K
41.0,Male,Master's Degree,Strategy Consultant,13.0,>100K
28.0,Female,Bachelor's Degree,Copywriter,2.0,<=100K
32.0,Male,Bachelor's Degree,Account Manager,5.0,<=100K
45.0,Female,Master's Degree,Director of Marketing,16.0,>100K
38.0,Male,PhD,Senior Scientist,11.0,>100K
25.0,Male,Bachelor's Degree,Help Desk Analyst,0.0,<=100K
51.0,Female,Bachelor's Degree,Customer Service Manager,22.0,>100K
33.0,Male,Master's Degree,Business Intelligence Analyst,7.0,<=100K
40.0,Female,Bachelor's Degree,Event Coordinator,12.0,<=100K
47.0,Male,Master's Degree,VP of Finance,19.0,>100K
29.0,Female,Bachelor's Degree,Graphic Designer,3.0,<=100K
36.0,Male,Bachelor's Degree,Sales Manager,9.0,<=100K
27.0,Female,Master's Degree,UX Researcher,2.0,<=100K
43.0,Male,PhD,Senior Engineer,17.0,>100K
30.0,Female,Bachelor's Degree,Social Media Manager,4.0,<=100K
35.0,Male,Master's Degree,Product Manager,7.0,>100K
51.0,Female,Master's Degree,Director of Operations,23.0,>100K
29.0,Male,Bachelor's Degree,Marketing Analyst,3.0,<=100K
40.0,Female,Bachelor's Degree,HR Manager,12.0,<=100K
47.0,Male,PhD,Senior Data Scientist,21.0,>100K
26.0,Male,Bachelor's Degree,Junior Accountant,1.0,<=100K
38.0,Female,Master's Degree,Digital Marketing Manager,10.0,<=100K
46.0,Male,Bachelor's Degree,IT Manager,19.0,>100K
31.0,Female,Bachelor's Degree,Customer Service Representative,5.0,<=100K
34.0,Male,Master's Degree,Business Development Manager,8.0,<=100K
49.0,Female,Master's Degree,Senior Financial Analyst,18.0,>100K
33.0,Male,Bachelor's Degree,Web Developer,6.0,<=100K
39.0,Female,Bachelor's Degree,Recruiter,11.0,<=100K
45.0,Male,PhD,Research Director,16.0,>100K
28.0,Male,Bachelor's Degree,Technical Support Specialist,2.0,<=100K
42.0,Female,Master's Degree,Creative Director,14.0,>100K
37.0,Male,Bachelor's Degree,Project Manager,10.0,<=100K
50.0,Female,Bachelor's Degree,Operations Manager,22.0,>100K
32.0,Male,Master's Degree,Senior Software Engineer,6.0,<=100K
48.0,Female,Master's Degree,Human Resources Director,20.0,>100K
30.0,Female,Bachelor's Degree,Content Marketing Manager,3.0,<=100K
36.0,Male,Bachelor's Degree,Technical Recruiter,8.0,<=100K
41.0,Female,Master's Degree,Data Analyst,13.0,<=100K
25.0,Male,Bachelor's Degree,Sales Representative,0.0,<=100K
52.0,Male,PhD,Chief Technology Officer,24.0,>100K
29.0,Female,Bachelor's Degree,Junior Designer,2.0,<=100K
34.0,Female,Master's Degree,Financial Advisor,10.0,<=100K
27.0,Male,Bachelor's Degree,Junior Account Manager,2.0,<=100K
40.0,Female,Bachelor's Degree,HR Generalist,15.0,<=100K
46.0,Male,Master's Degree,Senior Project Manager,21.0,>100K
31.0,Female,Bachelor's Degree,Marketing Coordinator,6.0,<=100K
36.0,Male,PhD,Principal Scientist,11.0,>100K
29.0,Female,Bachelor's Degree,Sales Associate,3.0,<=100K
43.0,Male,Bachelor's Degree,Supply Chain Manager,18.0,>100K
52.0,Female,Master's Degree,Senior Marketing Manager,25.0,>100K
33.0,Male,Bachelor's Degree,Business Analyst,7.0,<=100K
39.0,Female,Bachelor's Degree,Training Specialist,12.0,<=100K
47.0,Male,PhD,Research Scientist,22.0,>100K
26.0,Male,Bachelor's Degree,Junior Software Developer,1.0,<=100K
38.0,Female,Master's Degree,Public Relations Manager,10.0,<=100K
45.0,Male,Bachelor's Degree,Operations Analyst,20.0,>100K
31.0,Female,Bachelor's Degree,Event Coordinator,5.0,<=100K
35.0,Male,Master's Degree,Product Marketing Manager,8.0,<=100K
49.0,Female,Master's Degree,Senior HR Manager,19.0,>100K
33.0,Male,Bachelor's Degree,Junior Web Developer,5.0,<=100K
39.0,Female,Master's Degree,Senior Project Coordinator,13.0,<=100K
44.0,Male,PhD,Chief Data Officer,16.0,>100K
30.0,Female,Bachelor's Degree,Digital Content Producer,3.0,<=100K
36.0,Male,Bachelor's Degree,IT Support Specialist,7.0,<=100K
41.0,Female,Master's Degree,Senior Marketing Analyst,14.0,<=100K
28.0,Male,Bachelor's Degree,Customer Success Manager,2.0,<=100K
42.0,Female,Master's Degree,Senior Graphic Designer,15.0,>100K
37.0,Male,Bachelor's Degree,Software Project Manager,9.0,<=100K
50.0,Female,Bachelor's Degree,Supply Chain Analyst,22.0,>100K
32.0,Male,Master's Degree,Senior Business Analyst,6.0,<=100K
23.0,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,<=100K
31.0,Male,Master's Degree,Senior Financial Analyst,6.0,<=100K
40.0,Female,Bachelor's Degree,Office Manager,15.0,<=100K
48.0,Male,PhD,Principal Engineer,20.0,>100K
29.0,Female,Bachelor's Degree,Junior HR Generalist,3.0,<=100K
35.0,Male,Master's Degree,Senior Product Manager,10.0,>100K
42.0,Female,Bachelor's Degree,Sales Manager,17.0,<=100K
53.0,Male,Master's Degree,Director of Marketing,25.0,>100K
33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,<=100K
38.0,Male,Bachelor's Degree,Customer Service Manager,11.0,<=100K
44.0,Female,PhD,Senior Scientist,16.0,>100K
26.0,Male,Bachelor's Degree,Junior Accountant,2.0,<=100K
37.0,Female,Master's Degree,Senior HR Generalist,9.0,<=100K
45.0,Male,Bachelor's Degree,Sales Operations Manager,18.0,>100K
32.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,<=100K
34.0,Male,Master's Degree,Senior Software Developer,8.0,>100K
50.0,Female,Master's Degree,Director of Operations,21.0,>100K
29.0,Male,Bachelor's Degree,Junior Web Designer,3.0,<=100K
40.0,Female,Master's Degree,Senior Training Specialist,12.0,<=100K
47.0,Male,PhD,Senior Research Scientist,22.0,>100K
27.0,Male,Bachelor's Degree,Junior Sales Representative,1.0,<=100K
39.0,Female,Bachelor's Degree,Administrative Assistant,10.0,<=100K
46.0,Male,Master's Degree,Senior Project Manager,19.0,>100K
30.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,<=100K
36.0,Male,Bachelor's Degree,Junior Data Analyst,7.0,<=100K
43.0,Female,Master's Degree,Senior Product Marketing Manager,14.0,>100K
28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,<=100K
41.0,Female,Master's Degree,Senior Marketing Manager,13.0,>100K
33.0,Male,Bachelor's Degree,Junior Software Developer,5.0,<=100K
47.0,Male,Bachelor's Degree,Senior Sales Manager,20.0,>100K
25.0,Female,Master's Degree,Junior Marketing Specialist,1.5,<=100K
34.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,<=100K
42.0,Female,PhD,Senior Data Scientist,16.0,>100K
31.0,Male,Bachelor's Degree,Junior Project Manager,4.0,<=100K
38.0,Female,Bachelor's Degree,Senior Accountant,10.0,<=100K
45.0,Male,Master's Degree,Director of Sales,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Recruiter,3.0,<=100K
36.0,Male,Master's Degree,Senior Business Development Manager,11.0,>100K
43.0,Female,PhD,Senior Product Designer,18.0,>100K
26.0,Male,Bachelor's Degree,Junior Customer Support Specialist,2.0,<=100K
37.0,Female,Master's Degree,Senior Marketing Analyst,9.0,<=100K
44.0,Male,Bachelor's Degree,Senior IT Support Specialist,14.0,>100K
32.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,<=100K
33.0,Male,Master's Degree,Senior Operations Manager,7.0,>100K
51.0,Female,PhD,Director of Human Resources,23.0,>100K
28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,<=100K
39.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,<=100K
48.0,Male,Master's Degree,Director of Product Management,21.0,>100K
30.0,Female,Bachelor's Degree,Junior Copywriter,3.0,<=100K
35.0,Male,Bachelor's Degree,Senior Marketing Coordinator,7.0,<=100K
41.0,Female,Master's Degree,Senior Human Resources Manager,13.0,>100K
27.0,Male,Bachelor's Degree,Junior Business Development Associate,1.5,<=100K
40.0,Female,Bachelor's Degree,Senior Account Manager,14.0,>100K
46.0,Male,PhD,Senior Researcher,18.0,>100K
31.0,Female,Bachelor's Degree,Junior HR Coordinator,4.0,<=100K
34.0,Male,Master's Degree,Senior Software Engineer,9.0,>100K
50.0,Female,Master's Degree,Director of Finance,20.0,>100K
29.0,Male,Bachelor's Degree,Junior Marketing Coordinator,2.0,<=100K
,,,,,<=100K
43.0,Male,Bachelor's Degree,Senior Project Manager,16.0,>100K
26.0,Female,Master's Degree,Junior Data Scientist,1.5,<=100K
35.0,Male,Bachelor's Degree,Senior Operations Analyst,7.0,<=100K
42.0,Female,PhD,Senior Marketing Manager,18.0,>100K
31.0,Male,Bachelor's Degree,Junior Accountant,4.0,<=100K
38.0,Female,Bachelor's Degree,Senior Human Resources Coordinator,10.0,<=100K
46.0,Male,Master's Degree,Director of Operations,20.0,>100K
29.0,Female,Bachelor's Degree,Junior Sales Representative,2.0,<=100K
37.0,Male,Master's Degree,Senior Business Analyst,9.0,>100K
